Scenario Id,Investment Id,Investment Group Id,Is Investment Group Parent?,Account,Account Type,Business Area (BA),Coordinating Division,Asset Bundling Group,Disposition,Investment Code,Facility,Investment Group,Must Do,Investment,Required By,Investment Stage,Investment Type,Has Forecast,Forecast has adjustments,Outage Duration,Outage Name,Outage Planned Date,Pause Date,Planning Group,Portfolio,Resume Date,Earliest Start Date,End of Investment,Latest Start Date,Alternative,Start Date,Total Forecast (All Account Types),CAPEX,OPEX,Value Measure Id,Value Measure Name,Measure Category,Measure Category Name,Value Function Id,Value Function Name,Total Value,Portfolio Id,Portfolio Name,Is Planning Portfolio?,Parent Portfolio Id,Portfolio Id Hierarchy,Portfolio Name Hierarchy,Portfolio Name Hierarchy Delimiter,Scenario Name,Scenario Description,Scenario Type,Scenario Type Name,Fuel Cost Multiplier,Cost of CO2 Equivalent
219688,194917,4574353,True,,,,North,,,WG23043,Whistler Company,,False,X9142-71 - Procure materials for Unit 14 (NTR-2358-E-15-2424),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,31271375.2752,21352997.2752,9918378.0,106084,-Financial Risk-,Risk,Risk,142841,Whistler Group Value,26545.6498569877,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194917,4574353,True,,,,North,,,WG23043,Whistler Company,,False,X9142-71 - Procure materials for Unit 14 (NTR-2358-E-15-2424),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,31271375.2752,21352997.2752,9918378.0,106085,-Environmental Risk-,Risk,Risk,142841,Whistler Group Value,8848.54995232921,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194917,4574353,True,,,,North,,,WG23043,Whistler Company,,False,X9142-71 - Procure materials for Unit 14 (NTR-2358-E-15-2424),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,31271375.2752,21352997.2752,9918378.0,106086,-Safety Risk-,Risk,Risk,142841,Whistler Group Value,265.456498569877,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194919,4574354,True,,,,North,,,WG23045,Whistler Company,,False,X2298-8 - Remove Unit 18 (NTR-2358-E-15-2426),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,33152715.492,25404866.4912,7747849.0008,106084,-Financial Risk-,Risk,Risk,142841,Whistler Group Value,52339.9645290236,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194919,4574354,True,,,,North,,,WG23045,Whistler Company,,False,X2298-8 - Remove Unit 18 (NTR-2358-E-15-2426),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,33152715.492,25404866.4912,7747849.0008,106085,-Environmental Risk-,Risk,Risk,142841,Whistler Group Value,1570.19893587071,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194919,4574354,True,,,,North,,,WG23045,Whistler Company,,False,X2298-8 - Remove Unit 18 (NTR-2358-E-15-2426),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,33152715.492,25404866.4912,7747849.0008,106086,-Safety Risk-,Risk,Risk,142841,Whistler Group Value,157.019893587071,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194921,4574355,True,,,,North,,,WG23047,Whistler Company,,False,X4564-44 - Fire Suppression System Unit 18 (NTR-2358-E-15-2428),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,27206949.0264,21213640.0272,5993308.9992,106084,-Financial Risk-,Risk,Risk,142841,Whistler Group Value,35229.0748860164,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194921,4574355,True,,,,North,,,WG23047,Whistler Company,,False,X4564-44 - Fire Suppression System Unit 18 (NTR-2358-E-15-2428),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,27206949.0264,21213640.0272,5993308.9992,106085,-Environmental Risk-,Risk,Risk,142841,Whistler Group Value,1056.87224658049,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194921,4574355,True,,,,North,,,WG23047,Whistler Company,,False,X4564-44 - Fire Suppression System Unit 18 (NTR-2358-E-15-2428),,Executing,Project,True,False,,,,,Executing,,,01/01/2019,,,Refurbish,01/01/2019,27206949.0264,21213640.0272,5993308.9992,106086,-Safety Risk-,Risk,Risk,142841,Whistler Group Value,105.687224658049,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
219688,194980,4574356,True,,,,North,,,WG23005,Whistler Company,,False,P4283-19 - Unit 8 (Eris Station / NTR-2358-A-14-2364),,Short Term Planning,Project,True,False,,,,,Under Consideration,,,01/01/2023,,,Replace,05/01/2023,110994462.7024,91017418.2828,19977044.4196,106084,-Financial Risk-,Risk,Risk,142841,Whistler Group Value,11439.8561265344,194640,North (2358),True,194585.0,/0/48840/44/194585/194640/,Planning â†’ ? â†’ Whistler Americas â†’ Demo Portfolio â†’ North (2358), â†’ ,01_Requested 2023 Plan,"Contains the investments as initially requested by the investment owners with ALL constraints 
Emergency Capital investments enabled (moved to Under Consideration Group)  ",Planning,Planning,,
